x,y,z
-1152.9400634765625,-1965.560791015625,143.4825439453125
-1153.4931640625,-1966.117919921875,143.4753875732422
-1154.0455322265625,-1966.677001953125,143.46884155273438
-1154.597900390625,-1967.2359619140625,143.4623260498047
-1155.149658203125,-1967.7945556640625,143.4568328857422
-1155.700927734375,-1968.353515625,143.45269775390625
-1156.2528076171875,-1968.9124755859375,143.4486846923828
-1156.8048095703125,-1969.4716796875,143.44390869140625
-1157.3563232421875,-1970.0321044921875,143.4390869140625
-1157.9075927734375,-1970.593505859375,143.4352264404297
-1158.458984375,-1971.1549072265625,143.43161010742188
-1159.0103759765625,-1971.7161865234375,143.4275360107422
-1159.5609130859375,-1972.2783203125,143.42381286621094
-1160.111328125,-1972.8406982421875,143.42041015625
-1160.6619873046875,-1973.40380859375,143.4161834716797
-1161.212158203125,-1973.96826171875,143.41140747070312
-1161.76171875,-1974.5341796875,143.4066925048828
-1162.31103515625,-1975.10107421875,143.40216064453125
-1162.8603515625,-1975.6685791015625,143.39788818359375
-1163.4091796875,-1976.236572265625,143.3939971923828
-1163.95849609375,-1976.8045654296875,143.39022827148438
-1164.5084228515625,-1977.37158203125,143.3853759765625
-1165.05810546875,-1977.939453125,143.3803253173828
-1165.6080322265625,-1978.507568359375,143.3752899169922
-1166.1583251953125,-1979.0758056640625,143.36964416503906
-1166.70947265625,-1979.6441650390625,143.3628387451172
-1167.2601318359375,-1980.2127685546875,143.3557891845703
-1167.81103515625,-1980.7813720703125,143.3487091064453
-1168.3624267578125,-1981.3494873046875,143.3416290283203
-1168.91455078125,-1981.917724609375,143.33370971679688
-1169.466796875,-1982.48681640625,143.3265838623047
-1170.0201416015625,-1983.0555419921875,143.3191375732422
-1170.5738525390625,-1983.6239013671875,143.31198120117188
-1171.1279296875,-1984.1923828125,143.3052215576172
-1171.682373046875,-1984.7606201171875,143.2986602783203
-1172.2374267578125,-1985.329345703125,143.2925567626953
-1172.7930908203125,-1985.898681640625,143.2874298095703
-1173.3499755859375,-1986.4683837890625,143.2830810546875
-1173.908447265625,-1987.0384521484375,143.2775421142578
-1174.4686279296875,-1987.6097412109375,143.2706298828125
-1175.029052734375,-1988.1827392578125,143.26467895507812
-1175.590087890625,-1988.7574462890625,143.25978088378906
-1176.153076171875,-1989.3330078125,143.2543487548828
-1176.718017578125,-1989.910400390625,143.24868774414062
-1177.2841796875,-1990.489990234375,143.2435302734375
-1177.85205078125,-1991.0716552734375,143.23838806152344
-1178.422119140625,-1991.6544189453125,143.2323760986328
-1178.99365234375,-1992.2388916015625,143.2257537841797
-1179.56591796875,-1992.8258056640625,143.21902465820312
-1180.1396484375,-1993.416015625,143.21217346191406
-1180.7152099609375,-1994.009033203125,143.20484924316406
-1181.29248046875,-1994.604736328125,143.1971893310547
-1181.870849609375,-1995.2030029296875,143.19007873535156
-1182.450439453125,-1995.803955078125,143.18385314941406
-1183.0322265625,-1996.407470703125,143.17807006835938
-1183.6158447265625,-1997.012939453125,143.17263793945312
-1184.2012939453125,-1997.61962890625,143.16738891601562
-1184.7886962890625,-1998.227783203125,143.1620330810547
-1185.3780517578125,-1998.8370361328125,143.15655517578125
-1185.9691162109375,-1999.4471435546875,143.15036010742188
-1186.5615234375,-2000.05859375,143.1434783935547
-1187.1551513671875,-2000.671142578125,143.1363983154297
-1187.74951171875,-2001.28369140625,143.12855529785156
-1188.343994140625,-2001.89599609375,143.11985778808594
-1188.938232421875,-2002.5084228515625,143.11141967773438
