x,y,z
-1161.5433349609375,-1952.6400146484375,143.13809204101562
-1162.1907958984375,-1953.294921875,143.13206481933594
-1162.8387451171875,-1953.949951171875,143.1261444091797
-1163.486572265625,-1954.605224609375,143.120361328125
-1164.134521484375,-1955.2603759765625,143.1147003173828
-1164.782470703125,-1955.916015625,143.10931396484375
-1165.4305419921875,-1956.5716552734375,143.10386657714844
-1166.0784912109375,-1957.2276611328125,143.0984344482422
-1166.726318359375,-1957.8839111328125,143.09332275390625
-1167.373779296875,-1958.540283203125,143.0879364013672
-1168.0208740234375,-1959.19677734375,143.08241271972656
-1168.667724609375,-1959.8533935546875,143.07691955566406
-1169.31396484375,-1960.510009765625,143.0711669921875
-1169.9598388671875,-1961.1666259765625,143.06488037109375
-1170.6051025390625,-1961.8232421875,143.0585479736328
-1171.250244140625,-1962.479736328125,143.05267333984375
-1171.8946533203125,-1963.1363525390625,143.04652404785156
-1172.5386962890625,-1963.7928466796875,143.03997802734375
-1173.182373046875,-1964.448974609375,143.03416442871094
-1173.8258056640625,-1965.1048583984375,143.02828979492188
-1174.468994140625,-1965.760498046875,143.02206420898438
-1175.1119384765625,-1966.4158935546875,143.0160675048828
-1175.754638671875,-1967.0709228515625,143.01011657714844
-1176.397216796875,-1967.7257080078125,143.0042266845703
-1177.0391845703125,-1968.3802490234375,142.9986114501953
-1177.680908203125,-1969.0347900390625,142.99301147460938
-1178.3221435546875,-1969.689208984375,142.987548828125
-1178.962890625,-1970.34326171875,142.9822540283203
-1179.603271484375,-1970.9971923828125,142.97654724121094
-1180.2432861328125,-1971.6512451171875,142.97108459472656
-1180.8828125,-1972.3050537109375,142.96522521972656
-1181.5218505859375,-1972.958984375,142.9586181640625
-1182.1602783203125,-1973.61279296875,142.9518585205078
-1182.79833984375,-1974.266357421875,142.9442596435547
-1183.4359130859375,-1974.919921875,142.936279296875
-1184.07275390625,-1975.5738525390625,142.9282989501953
-1184.70947265625,-1976.2279052734375,142.92022705078125
-1185.345458984375,-1976.8819580078125,142.91256713867188
-1185.9805908203125,-1977.5360107421875,142.90524291992188
-1186.615478515625,-1978.1900634765625,142.89810180664062
-1187.2496337890625,-1978.8438720703125,142.8909454345703
